checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,29,28.999999999999996,25,25.0,46,46.0,0.04
200,100,61,61.0,21,21.0,18,18.0,0.4
300,100,73,73.0,24,24.0,3,3.0,0.49
400,100,83,83.0,12,12.0,5,5.0,0.71
500,100,80,80.0,15,15.0,5,5.0,0.65
600,100,83,83.0,13,13.0,4,4.0,0.7
700,100,80,80.0,14,14.000000000000002,6,6.0,0.66
800,100,86,86.0,7,7.000000000000001,7,7.000000000000001,0.79
900,100,82,82.0,14,14.000000000000002,4,4.0,0.68
final,100,84,84.0,11,11.0,5,5.0,0.73
