checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,27,27.0,30,30.0,43,43.0,-0.03
200,100,41,41.0,36,36.0,23,23.0,0.05
300,100,69,69.0,22,22.0,9,9.0,0.47
400,100,81,81.0,11,11.0,8,8.0,0.7
500,100,76,76.0,19,19.0,5,5.0,0.57
600,100,82,82.0,15,15.0,3,3.0,0.67
700,100,81,81.0,13,13.0,6,6.0,0.68
800,100,75,75.0,17,17.0,8,8.0,0.58
900,100,76,76.0,14,14.000000000000002,10,10.0,0.62
final,100,77,77.0,16,16.0,7,7.000000000000001,0.61
