checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,57,56.99999999999999,19,19.0,24,24.0,0.38
200,100,48,48.0,21,21.0,31,31.0,0.27
300,100,65,65.0,23,23.0,12,12.0,0.42
400,100,77,77.0,14,14.000000000000002,9,9.0,0.63
500,100,75,75.0,23,23.0,2,2.0,0.52
600,100,83,83.0,14,14.000000000000002,3,3.0,0.69
700,100,82,82.0,12,12.0,6,6.0,0.7
800,100,82,82.0,15,15.0,3,3.0,0.67
900,100,80,80.0,11,11.0,9,9.0,0.69
final,100,79,79.0,12,12.0,9,9.0,0.67
