checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,58,57.99999999999999,26,26.0,16,16.0,0.32
200,100,73,73.0,15,15.0,12,12.0,0.58
300,100,63,63.0,23,23.0,14,14.000000000000002,0.4
400,100,77,77.0,12,12.0,11,11.0,0.65
500,100,80,80.0,10,10.0,10,10.0,0.7
600,100,83,83.0,10,10.0,7,7.000000000000001,0.73
700,100,79,79.0,15,15.0,6,6.0,0.64
800,100,76,76.0,10,10.0,14,14.000000000000002,0.66
900,100,81,81.0,7,7.000000000000001,12,12.0,0.74
final,100,80,80.0,10,10.0,10,10.0,0.7
