checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,evaluation_time
100,100,27,27.0,26,26.0,47,47.0,418.4814829826355
500,100,69,69.0,14,14.000000000000002,17,17.0,503.3766007423401
800,100,71,71.0,12,12.0,17,17.0,539.7657196521759
1000,100,64,64.0,10,10.0,26,26.0,627.9003753662109
best,100,68,68.0,17,17.0,15,15.0,705.2439262866974
final,100,52,52.0,17,17.0,31,31.0,812.342146396637
