checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,51,51.0,24,24.0,25,25.0,0.27
200,100,70,70.0,19,19.0,11,11.0,0.51
300,100,77,77.0,12,12.0,11,11.0,0.65
400,100,67,67.0,21,21.0,12,12.0,0.46
500,100,66,66.0,21,21.0,13,13.0,0.45
600,100,67,67.0,18,18.0,15,15.0,0.49
700,100,71,71.0,11,11.0,18,18.0,0.6
800,100,71,71.0,16,16.0,13,13.0,0.55
900,100,73,73.0,13,13.0,14,14.000000000000002,0.6
final,100,71,71.0,12,12.0,17,17.0,0.59
